Name,Sule,Sule Myodaw Hall,Yoke Shin Yone,Youk Lan,Youk Lann,Youk Lan 2,Kyauk Taing,U Htaung Bo,Bahan 3 Lan,Taung Phat Mote,A Shae Phat Mote,Pan Soe Tan,Bar Lan,Pan Soe Tan2,Railway,Kan Yeik Thar,Thein Gyi Zay,Kone Zay Tan,Bo Gyoke Zay,Phyar Lan,Construction,Phone Gyi Lan,San Pya,Tha Yet Taw,Pegu Club,Myaeni Gone,Hantharwady,Hledan,Wizaya Plaza,Yae Khae Saing,Shwe Gon Daing 2,Shwe Gon Daing,Har Mit Tic,Har Mit Tic 2,Kokkaing,Myanmar Plaza,Inya Myaing,Thanlwin,UFL,U Wisara Awine,Lanmadaw
Construction,1.4520048186107366,1.2005245601906684,0.9789630215752994,0.6890454775001886,0.33151759231712813,0.6953488286273081,0.47442735680156684,1.066220889731747,1.4902070737906048,1.0574801748086844,1.3894842298941037,1.5877879733832008,1.379242990049367,1.1868790411627288,0.9664559465813207,1.236992430071585,1.3061939687711606,1.0395226792599352,0.7609338222422625,0.48275504083951987,0.0,1.556880262511511,1.346742457599724,1.1286130174434423,1.25419301772535,2.228427873089966,3.6174806081812476,5.0342550951985565,2.3054099690609156,1.6685691033674621,1.855953729528913,2.20630706674741,3.242974605785236,2.588770577173496,4.11008208940825,4.756084634154848,4.38089401979077,4.291106936960254,4.560047563635444,1.1843224940132804,0.94364849372512
Phone Gyi Lan,1.4931392971657669,1.5024165341515163,1.5688172566979608,1.7688683425614928,1.737896866421447,1.9483449802502375,2.006058332186192,2.593682414543729,3.0061795043151585,2.337396956558787,2.7222168568264355,1.80091323846416,1.8197102070532336,1.8794481097904092,2.0650783392874885,2.7733186987419693,0.8853925491587177,0.9085450973601622,1.0287198526831893,1.1945403670894559,1.556880262511511,0.0,0.2606226711503736,0.5786055238976167,1.489011506908698,2.872948958731123,4.38688077137592,5.8607939790619135,3.254578891292259,3.1837121372657484,3.3018294465824973,3.627041347649529,4.639799293032385,4.006614728980799,5.4483358630503735,6.094471196960965,5.622029508133103,5.448717780851971,5.620376527208156,2.212980853880084,0.614565118922092
San Pya,1.5163189908692203,1.4772785441258753,1.499029987487386,1.6378962323740218,1.5574987027706335,1.8008771355561592,1.808681308891533,2.362700658914635,2.7703798984008206,2.08293003562116,2.4680338446922323,1.8160518663108935,1.7963596579613652,1.8173905498518643,1.9471683006748923,2.5776114395197176,0.9243517341752802,0.8701061640126492,0.9190200223317866,1.0335764475468245,1.346742457599724,0.2606226711503736,0.0,0.3180816346435987,1.2394554522562542,2.624814563470379,4.139428881486451,5.613358208449818,2.9961998308137634,2.947067910583672,3.053973107371513,3.375779680777102,4.384955090251755,3.7543008849681763,5.189797140048924,5.83563952369215,5.36147525967379,5.1884290957013555,5.362168429057504,1.9526436865057217,0.4114351387371825
Tha Yet Taw,1.613563892277424,1.519838030230637,1.4848478471424407,1.535323507555111,1.3830304774407582,1.6701131398455222,1.6019956613384891,2.096944633028603,2.4953526913223696,1.778203111304368,2.1632644325850925,1.895093067094635,1.830400995898924,1.8026153928963815,1.8549030558085593,2.3648615812944263,1.0702093713351557,0.937160378352203,0.8880881440920575,0.9140225507348642,1.1286130174434423,0.5786055238976167,0.3180816346435987,0.0,0.9383868022967957,2.3216457121693455,3.8358920145855038,5.309293740001497,2.679886502385919,2.670221946847691,2.7591023754538955,3.0750407414145466,4.077883344848156,3.451591408606104,4.87641677968897,5.521695313418222,5.044014344172496,4.870384318141142,5.045856089703529,1.6359977034133772,0.3262751820439377
Pegu Club,2.3719015965131525,2.200870709686555,2.0680557127193193,1.9136098505703347,1.5856701086449752,1.948977097089483,1.6400208353634402,1.776759338221805,2.0818006677277054,1.2161869883628087,1.5586574574390906,2.6072797773218923,2.4688159531981357,2.3479191802059676,2.213028023996915,2.267907000527318,1.925771530734713,1.724138683307675,1.552010875139032,1.4050269776456659,1.25419301772535,1.489011506908698,1.2394554522562542,0.9383868022967957,0.0,1.3853805868492928,2.900024851222242,4.373925062778407,1.792262715005137,2.233002473351971,2.1976948305013346,2.454967207703513,3.381188881369199,2.8039959310957,4.109974394881658,4.7445361898789455,4.2158651888257594,4.007323275038902,4.1492232139471765,0.9156117576286179,1.1467498726751724
Myaeni Gone,3.606996620265261,3.389168207171003,3.1961243820753813,2.9032937368817726,2.506406865048845,2.8451734300519766,2.3899121836519965,2.0301061961157,2.0687370631902438,1.3942548812959563,1.4149979770939949,3.7924560252802424,3.6021647982901235,3.4145734994346486,3.1326633323312785,2.674575624697476,3.2483855575463045,3.017261938444377,2.795343162399941,2.577860569186044,2.228427873089966,2.872948958731123,2.624814563470379,2.3216457121693455,1.3853805868492928,0.0,1.5146545147891657,2.988546205780829,0.6460319089074621,2.129443740708724,1.8658680858467689,1.9248573575044277,2.531083158416941,2.1399143020501215,3.058593667077912,3.6469381030093766,3.0310557735561767,2.7543631988673014,2.824806625103479,1.079828863092106,2.498102685292862
Hantharwady,5.049519800596152,4.812878380208035,4.596073432736254,4.249663948863713,3.849290444349948,4.148867726456612,3.6652167344184186,3.097805167051265,2.940145753655862,2.6196110057472963,2.4390141790913606,5.205169272793404,4.991792751514056,4.775003569065024,4.428541267164062,3.712131106929575,4.736916379653481,4.495859332709858,4.258006129795164,4.020073666325632,3.6174806081812476,4.38688077137592,4.139428881486451,3.8358920145855038,2.900024851222242,1.5146545147891657,0.0,1.4739720623282515,1.327917102720748,2.9097063410467863,2.5356826292938606,2.3643479323884,2.3109561085353367,2.3272009081007305,2.3546497647692877,2.768323288713121,2.054811348287064,1.6550688150027284,1.5132602414854797,2.434811395759375,4.003004161329965
Hledan,6.480501043357746,6.234717143401524,6.006684192435877,5.63614815687002,5.240710246618152,5.51498798534988,5.028345019290958,4.3878940465259015,4.148738237385604,4.000728475724957,3.759973363152021,6.617995342059648,6.39300642609719,6.161980392489279,5.785167716862128,4.953280014457688,6.194982320900266,5.949159264219083,5.703975297458514,5.45733704120393,5.0342550951985565,5.8607939790619135,5.613358208449818,5.309293740001497,4.373925062778407,2.988546205780829,1.4739720623282515,0.0,2.730119183175895,4.0753012588062845,3.690959698131261,3.4272817338554127,2.9342675428723317,3.2472577997172523,2.478290712454793,2.544440273011952,1.9276230016921079,1.5381832611454218,1.055813572442665,3.8647690939740014,5.471123293402455
Wizaya Plaza,3.7503908063227476,3.505427610483507,3.280810662139531,2.924485755915258,2.5249791531781023,2.821003592209746,2.3373439768699393,1.7978270267665784,1.7082048308298992,1.2918135850933203,1.1337076737015974,3.8916478434993715,3.67215750072158,3.4504019337603933,3.1006880473878837,2.4313434528774693,3.483127795130048,3.231211213910357,2.9795728278969147,2.728750163794797,2.3054099690609156,3.254578891292259,2.9961998308137634,2.679886502385919,1.792262715005137,0.6460319089074621,1.327917102720748,2.730119183175895,0.0,1.721127291698522,1.3925418603755182,1.3666039392576552,1.8862308714421168,1.529248710961268,2.4310936075836276,3.0346181503495737,2.450854953419582,2.217682481600503,2.3659916074513077,1.1368367633578367,2.7929757483019673
Yae Khae Saing,2.924736575485066,2.6467818138741066,2.3801666643267,1.9362261974356771,1.6457583533423856,1.7419748983936725,1.3394673177245295,0.6027769549611667,0.17860297343207296,1.0205588450143344,0.7540572652804791,2.934411974706369,2.671076119043738,2.397579879305171,1.9418003602019283,0.9118405872262689,2.9456096352672945,2.6841692263287906,2.4082102420743228,2.1356191048414437,1.6685691033674621,3.1837121372657484,2.947067910583672,2.670221946847691,2.233002473351971,2.129443740708724,2.9097063410467863,4.0753012588062845,1.721127291698522,0.0,0.38472301769699746,0.6899273051163015,1.6637959729502734,1.0220776318247735,2.5672076270723188,3.194763276941382,2.9439945942987604,2.9668707722861893,3.3429832892042377,1.3785258282595096,2.5742162883711868
Shwe Gon Daing 2,3.1972520252697767,2.9208901816590327,2.6572457572906907,2.2202402208971117,1.8927400992641024,2.0399873180299024,1.59918349735585,0.8421423188822743,0.4780290104704883,1.0009481050415825,0.6392074532987011,3.232783999764624,2.973950289231666,2.7059283077396867,2.2622115117556603,1.2805680797979992,3.1589655176307314,2.8932183647766974,2.6144746318214627,2.3368361140862546,1.855953729528913,3.3018294465824973,3.053973107371513,2.7591023754538955,2.1976948305013346,1.8658680858467689,2.5356826292938606,3.690959698131261,1.3925418603755182,0.38472301769699746,0.0,0.35725387630409744,1.3905885655451966,0.7345809554321074,2.2755824018467052,2.91565890437824,2.612238029577932,2.6088557728407378,2.9716173491214306,1.2918327893965504,2.7068190029333734
Shwe Gon Daing,3.5544748432823843,3.278054464688497,3.014259502035275,2.5766460186939275,2.2497670314064186,2.3946163375718785,1.956394147677977,1.19908276294849,0.8192182336367247,1.2990979557354358,0.9168922510803852,3.588114238101526,3.3284854031052724,3.0593026850107754,2.6122579402024133,1.601704921920287,3.511187497996055,3.2450225566751607,2.9662211288007683,2.6882418865680937,2.20630706674741,3.627041347649529,3.375779680777102,3.0750407414145466,2.454967207703513,1.9248573575044277,2.3643479323884,3.4272817338554127,1.3666039392576552,0.6899273051163015,0.35725387630409744,0.0,1.0367936587082487,0.3834193817534257,1.9183493255022082,2.558900479470899,2.2621870726411326,2.2770092527975536,2.6586532862242946,1.5393734649631636,3.0394055555772606
Har Mit Tic,4.5791407031718485,4.301736786870094,4.036276695653021,3.594690050872117,3.2806821096542933,3.40444236130396,2.9827604926670968,2.2251464600205515,1.8214882114838098,2.302402670490036,1.9177401465860036,4.597801721208597,4.334801391926754,4.061341472319421,3.6041616256357276,2.539378005426876,4.5479793395624215,4.2818111137880415,4.00301003760865,3.725015277359142,3.242974605785236,4.639799293032385,4.384955090251755,4.077883344848156,3.381188881369199,2.531083158416941,2.3109561085353367,2.9342675428723317,1.8862308714421168,1.6637959729502734,1.3905885655451966,1.0367936587082487,0.0,0.6561364111914451,0.9064315189591936,1.531713875871716,1.3536534197946324,1.5105831412425241,1.9782026132024448,2.480955873098654,4.062224246884511
Har Mit Tic 2,3.9253945995507666,3.6482707793957805,3.383319956049394,2.9429865754319535,2.624977421607716,2.7557275130407213,2.328090484623288,1.5701594627292574,1.1721928678853029,1.6735936410068735,1.2890074848853255,3.949828477444598,3.688123049796708,3.4163163128239633,2.96309512495398,1.9192964282715927,3.8929629591989516,3.6269971512292347,3.348207197940516,3.0703606658267617,2.588770577173496,4.006614728980799,3.7543008849681763,3.451591408606104,2.8039959310957,2.1399143020501215,2.3272009081007305,3.2472577997172523,1.529248710961268,1.0220776318247735,0.7345809554321074,0.3834193817534257,0.6561364111914451,0.0,1.5491860441612617,2.184508884693124,1.9288341942209262,1.9892311083738472,2.4047440602181682,1.8904789150453578,3.4212944993774177
Kokkaing,5.472457566492869,5.1957491239265945,4.93135894663562,4.491843410421605,4.167889320742261,4.3048246150303004,3.874420679661902,3.116622133297771,2.7211471879303892,3.124628009159363,2.747298370135955,5.498864819522018,5.236805964194041,4.964321927806773,4.5087684214494255,3.445641007182281,5.41604034337812,5.14921642727049,4.870907767302356,4.592794578829713,4.11008208940825,5.4483358630503735,5.189797140048924,4.87641677968897,4.109974394881658,3.058593667077912,2.3546497647692877,2.478290712454793,2.4310936075836276,2.5672076270723188,2.2755824018467052,1.9183493255022082,0.9064315189591936,1.5491860441612617,0.0,0.6480845879590139,0.5857099048814014,0.9408505113918224,1.4260867316393977,3.2471097553917034,4.889988440581528
Myanmar Plaza,6.109861327640984,5.832654485777456,5.5674741795000475,5.126275655591201,4.808336013329912,4.936042262505157,4.512555893176429,3.754578830932479,3.353192078876944,3.7725961720558745,3.3953748278199756,6.129138614614869,5.865780521577985,5.591762930496434,5.132952921429529,4.057745950184921,6.062226659899201,5.795455654688363,5.517004109581668,5.238838520650462,4.756084634154848,6.094471196960965,5.83563952369215,5.521695313418222,4.7445361898789455,3.6469381030093766,2.768323288713121,2.544440273011952,3.0346181503495737,3.194763276941382,2.91565890437824,2.558900479470899,1.531713875871716,2.184508884693124,0.6480845879590139,0.0,0.717978252363305,1.1445837460980148,1.5223591706399162,3.890186234479741,5.537774447453171
