Name,Latitude,Longitude
Khun/ Shit Lan Sone,16.892201,96.195899
Yone Shae,16.887499,96.198531
Kone Padaythar,16.88443,96.200105
Swan In,16.880652,96.202251
Ma Wa Ta,16.876906,96.204372
Arr Kasar Kwin,16.872665,96.20622
Ka Pa Ya,16.869954,96.207272
Tadar Htate,16.866127,96.2089
Myo Oo Zedi,16.862089,96.212765
Taung Myauk Lan Sone,16.862952,96.216452
Myo Oo Kyaung,16.861699,96.23019
Kun Yar Saing,16.860179,96.232034
Tadar Htate,16.85598,96.237389
Phone Gyi Kyaung Kwae,16.853854,96.240061
Kar Lay Gate,16.85176,96.237883
Hnit-sae Zay,16.849706,96.236123
Kone Taik,16.848166,96.234815
Thitsar,16.845968,96.232785
Kyar Kan,16.844059,96.231197
Set Hmu Zone Zay,16.838349,96.232417
Ayeyarwaddy Lan Htate,16.837302,96.233107
Shwe Taung Kyar Lan,16.834385,96.233901
Sittaung Lan Htate,16.83153,96.234133
Sauk Lote Yae,16.828635,96.240297
Thone-Sae-Hnit Gate,16.820727,96.265875
Sae-Tit Lan,16.823561,96.268083
Sae-Tit Lan,16.823561,96.268083
Padauk Kwae,16.827094,96.269383
Moke Oo (Yuzana Garden),16.832393,96.269968
Ma Wa Ta Yone Shae/Oh Eain,16.832352,96.264843
Mya Nandar,16.835186,96.255509
Yadanar Lan,16.836686,96.250015
Thein Kyaung,16.838555,96.244072
Ayar Wun,16.849111,96.246046
Awaiyar,16.850651,96.244437
Phone Gyi Kyaung Kwae,16.853957,96.240168
Tadar Htate,16.856103,96.237529
Sae-shit Kwae,16.858064,96.23446
Kyan Mar Yae,16.856442,96.233021
Kyaung Shae,16.85445,96.23124
Gate Haung,16.852704,96.229652
Kone Padaythar,16.850158,96.227463
Thit Saing Kwae,16.847632,96.223322
Yauk Kaw,16.848392,96.222314
Pan Chan,16.851575,96.218709
Than Lan,16.854902,96.214993
Taung Myauk Lan Sone,16.858721,96.214718
Tadar Phyu,16.857859,96.212375
Kar Gyi Gate,16.847427,96.208838
Sanpya Zay/ Nga Moe Yeik,16.841871,96.204405
Myittar Shwe Yi,16.838739,96.201072
Bawa Myint,16.837507,96.199817
Kalar Su,16.835063,96.197144
B.O.C,16.832963,96.195097
Paya Lan,16.831222,96.193281
Zawana,16.828111,96.188176
Khap Chee Yar,16.826232,96.186427
Athin Taik,16.823161,96.183397
Than Lan,16.819977,96.178349
Lan Sone,16.819269,96.172287
Kyaung Shae,16.815458,96.17248
Byaing Yae Oh Sin,16.806492,96.172127
Thida,16.799424,96.175791
Aung Mingalar,16.796299,96.176668
Yuzana Plaza/ Lan Kyal,16.794501,96.175571
Mingalar Mon Zay,16.794101,96.172931
Byaing Yae Oh Sin,16.806698,96.172111
Kyaung Shae,16.815407,96.172652
Lan Sone,16.81895,96.17248
Than Lan,16.819885,96.178134
Athin Taik,16.823053,96.183446
Khap Chee Yar,16.82616,96.186578
Zawana,16.827618,96.187833
Paya Lan,16.830771,96.19326
B.O.C,16.832696,96.195011
Kalar Su,16.834899,96.197444
Bawa Myint,16.837107,96.199742
Myittar Shwe Yi,16.838596,96.201276
Sanpya Zay/ Nga Moe Yeik,16.841989,96.204673
Kar Gyi Gate,16.847468,96.209482
Tadar Phyu,16.857366,96.212289
Taung Myauk Lan Sone,16.85866,96.21446
Than Lan,16.854532,96.214736
Pan Chan,16.851513,96.218237
Yauk Kaw,16.848248,96.222056
Thit Saing Kwae,16.847149,96.223431
Kone Padaythar,16.849799,96.22753
Gate Haung,16.852273,96.229738
Kyaung Shae,16.854245,96.231455
Kyan Mar Yae,16.856072,96.233021
Sae-shit Kwae,16.858033,96.234611
Tadar Htate,16.85598,96.237389
Phone Gyi Kyaung Kwae,16.853854,96.240061
Awaiyar,16.85024,96.244437
Ayar Wun,16.849152,96.245892
Thein Kyaung,16.838431,96.243685
Yadanar Lan,16.836583,96.249372
Mya Nandar,16.835104,96.254607
Ma Wa Ta Yone Shae/Oh Eain,16.832249,96.265079
Moke Oo (Yuzana Garden),16.832147,96.270186
Padauk Kwae,16.827217,96.269082
Sae-Tit Lan,16.823294,96.267697
Thone-Sae-Hnit Gate,16.820727,96.265875
Sae-Tit Lan,16.823561,96.268083
Padauk Kwae,16.827217,96.269082
Moke Oo (Yuzana Garden),16.832393,96.269968
Ma Wa Ta Yone Shae/Oh Eain,16.832352,96.264843
Mya Nandar,16.835186,96.255509
Yadanar Lan,16.836583,96.249372
Thein Kyaung,16.838555,96.244072
Chauk-sae-ngar Yat Kwet,16.83494,96.242613
Sauk Lote Yae,16.828347,96.240619
Alo Taw Pyae,16.820604,96.23791
Thit Sait,16.815797,96.236365
Asean,16.807191,96.232549
Sauk Lote Yae,16.799426,96.224116
Sae-Thone Gate,16.793798,96.21946
Gate Wa,16.79125,96.217443
Khan Ma,16.790942,96.214632
Lay-sae-koe Asane Gate,16.791127,96.211778
Kyel Ngar Pwint,16.791476,96.210018
Waizayantar,16.791846,96.20768
Ngar Kwae,16.791045,96.206371
Nal Myay Yon,16.789443,96.205727
Si Saing,16.784553,96.203924
Mee Thwe Saing,16.782047,96.203603
Kyaung Shae,16.778801,96.202358
Shukhinthar,16.775021,96.200396
Dhamar Yon,16.777404,96.196148
Thone Gate Haung,16.777676,96.195548
Man Pyae,16.778452,96.19412
Yan Pyay,16.779951,96.191479
Thinbaw Kyin,16.78141,96.188818
Ocean,16.77385,96.177383
Masalar Set/ Gandi,16.776438,96.174755
Lan Ngar Sae,16.776572,96.170967
Lay-sae-chauk Lan,16.776539,96.168568
Pansodan,16.776767,96.163811
Bar lan,16.77689,96.160721
Sule Pan Chan,16.773932,96.159584
Pansodan,16.774148,96.163092
Bokalay Zay,16.774055,96.165646
Lay-sae-chauk Lan,16.773968,96.168393
Lan Ngar Sae,16.773917,96.170566
Gandee,16.773757,96.174186
Ocean,16.773665,96.177737
Thinbaw Kyin,16.781369,96.188174
Yan Pyay,16.77991,96.191028
Man Pyae,16.778472,96.193755
Thone Gate Haung,16.777615,96.19543
Dhamar Yon,16.776521,96.197328
Shukhinthar,16.774682,96.201276
Kyaung Shae,16.77878,96.202701
Mee Thwe Saing,16.781574,96.203753
Si Saing,16.784122,96.204246
Nal Myay Yon,16.789032,96.205877
Ngar Kwae,16.791291,96.206778
Waizayantar,16.791579,96.207443
Kyel Ngar Pwint,16.791209,96.209632
Lay-sae-koe Asane Gate,16.790983,96.211327
Khan Ma,16.790511,96.214546
Gate Wa,16.790572,96.216842
Sae-Thone Gate,16.793243,96.219589
Sauk Lote Yae,16.799077,96.224288
Asean,16.806883,96.232313
Thit Sait,16.815017,96.236665
Alo Taw Pyae,16.819988,96.238253
Sauk Lote Yae,16.828234,96.240737
Chauk-sae-ngar Yat Kwet,16.834919,96.242934
Thein Kyaung,16.837918,96.243879
Yadanar Lan,16.836686,96.250015
Mya Nandar,16.835104,96.254607
Ma Wa Ta Yone Shae/Oh Eain,16.832249,96.265079
Moke Oo (Yuzana Garden),16.832147,96.270186
Padauk Kwae,16.827094,96.269383
Sae-Tit Lan,16.823294,96.267697
Thone-Sae-Hnit Gate,16.821399,96.26605
Shit-sae-koe Kwae,16.842498,96.278468
Kanaung Kwae,16.832311,96.276387
Moke Oo (Yuzana Garden),16.832393,96.269968
Padauk Kwae,16.827217,96.269082
Sae-Tit Lan,16.823294,96.267697
Thone-Sae-Hnit Gate,16.821399,96.26605
Asean,16.807191,96.232549
Sauk Lote Yae,16.803432,96.22418
Tayar-Shit Taung,16.806431,96.218966
Thaketa Awine,16.806472,96.216753
Shit Gate,16.805075,96.213709
Myayni,16.803884,96.210641
Kyaung Kwae/ Htuu Par Yone,16.803945,96.205941
Anawmar,16.803981,96.201926
Kyauk Taing,16.804582,96.195665
Myayni Lan,16.802477,96.196551
Tat Phwet,16.799616,96.196739
Tit Zay Kwae,16.796504,96.195467
Thadar Yon,16.793695,96.193818
Wet Su,16.789915,96.191822
Yan Aung,16.786238,96.189934
Thinbaw Kyin,16.782458,96.186715
Warso,16.782709,96.183757
Sar Taik,16.784522,96.174755
Pazundaung Zay,16.781651,96.174337
Nyaung Tan,16.77856,96.175217
Masalar Set/ Gandi,16.776438,96.174755
Pazundaung Zay,16.78026,96.17454
Sar Taik,16.784389,96.174991
Warso,16.782602,96.182764
Thinbaw Kyin,16.781821,96.187981
Yan Aung,16.78558,96.189977
Wet Su,16.789833,96.192209
Thadar Yon,16.793695,96.194204
Tit Zay Kwae,16.796412,96.195339
Tat Phwet,16.799601,96.196862
Myayni Lan,16.802389,96.19669
Kyauk Taing,16.80449,96.195472
Anawmar,16.803894,96.201792
Kyaung Kwae/ Htuu Par Yone,16.803678,96.205856
Myayni,16.803637,96.210855
Shit Gate,16.804664,96.21358
Thaketa Awine,16.806421,96.216786
Tayar-Shit Taung,16.806554,96.219374
Sauk Lote Yae,16.803,96.223816
Asean,16.806821,96.232334
Thone-Sae-Hnit Gate,16.820727,96.265875
Sae-Tit Lan,16.823561,96.268083
Padauk Kwae,16.827094,96.269383
Moke Oo (Yuzana Garden),16.832147,96.270186
Kanaung Kwae,16.832126,96.276644
Shit-sae-koe Kwae,16.842498,96.279541
Yone Shae,16.872644,96.256444
(Khun-Hnit-Sal/ Khun-Hnit-Sae Tit) Zay,16.870745,96.254781
Kar Gyi Gate,16.867192,96.251648
Kun Yar Saing,16.863753,96.248428
Ngar-sae-chauk,16.861514,96.246346
Ngar-sae Lay Tha Ma,16.859892,96.244973
Phone Gyi Kyaung Kwae,16.854265,96.24005
Tadar Htate,16.856103,96.237529
Sae-shit Kwae,16.858064,96.23446
Kyan Mar Yae,16.856442,96.233021
Kyaung Shae,16.85445,96.23124
Gate Haung,16.852704,96.229652
Kone Padaythar,16.850158,96.227463
Thit Saing Kwae,16.847632,96.223322
Yauk Kaw,16.848392,96.222314
Pan Chan,16.851575,96.218709
Than Lan,16.854902,96.214993
Taung Myauk Lan Sone,16.858721,96.214718
Tadar Phyu,16.857859,96.212375
Kar Gyi Gate,16.847427,96.208838
Sanpya Zay/ Nga Moe Yeik,16.843237,96.204109
Lai Sin Yone,16.84564,96.201521
Se Man Kane,16.84756,96.19854
Thone-sae-tit Gate/ Tit Gate,16.849018,96.194105
Moe Swe,16.85024,96.189614
Taung Okkalar Paya,16.852869,96.185483
Myin Thar Zay,16.856863,96.181911
Bay Li,16.859851,96.178992
Pinya,16.85955,96.176045
Kaytu Marlar Kwae,16.856031,96.172008
Nyaung Pin,16.854265,96.168412
Mit Zu Lan,16.850959,96.162165
Chaw Twin Kone,16.850728,96.157675
Kabar Aye Paya/ Paya Lan,16.856873,96.156653
Sar Taik,16.862603,96.155366
Nawaday,16.866879,96.152638
Myaing Hay Wun,16.866771,96.143438
Shit Mile,16.865924,96.141839
Ye Baw Haung,16.867634,96.137322
A Way Pyay,16.888701,96.123154
Sae-Mile Kone,16.889317,96.130621
Koe Mile Khawe,16.884384,96.135772
Koe Mile,16.881858,96.134968
A One,16.877716,96.137706
Mahar Si,16.872582,96.140015
Shit Mile,16.868024,96.141244
Nawaday,16.866802,96.152531
Sar Taik,16.861586,96.155325
Kabar Aye Paya/ Paya Lan,16.85829,96.156009
Chaw Twin Kone,16.850076,96.158262
Mit Zu Lan,16.850759,96.161913
Nyaung Pin,16.853834,96.168176
Kaytu Marlar Kwae,16.856206,96.171933
Bay Li,16.859959,96.178682
Myin Thar Zay,16.856729,96.18176
Taung Okkalar Paya,16.852787,96.185333
Moe Swe,16.849994,96.1897
Thone-sae-tit Gate/ Tit Gate,16.848931,96.194019
Se Man Kane,16.847406,96.198465
Lai Sin Yone,16.845763,96.200813
Sanpya Zay/ Nga Moe Yeik,16.843309,96.203744
Kar Gyi Gate,16.847468,96.209482
Tadar Phyu,16.857366,96.212289
Taung Myauk Lan Sone,16.85866,96.21446
Than Lan,16.854532,96.214736
Pan Chan,16.851513,96.218237
Yauk Kaw,16.848248,96.222056
Thit Saing Kwae,16.847149,96.223431
Kone Padaythar,16.849799,96.22753
Gate Haung,16.852273,96.229738
Kyaung Shae,16.854245,96.231455
Kyan Mar Yae,16.856072,96.233021
Sae-shit Kwae,16.858033,96.234611
Tadar Htate,16.85598,96.237389
Phone Gyi Kyaung Kwae,16.854162,96.24019
Ngar-sae Lay Tha Ma,16.859707,96.245273
Ngar-sae-chauk,16.861001,96.246432
Kun Yar Saing,16.863321,96.248471
Kar Gyi Gate,16.867089,96.251766
(Khun-Hnit-Sal/ Khun-Hnit-Sae Tit) Zay,16.870642,96.254942
Yone Shae,16.872634,96.256723
Chauk-Sae-Hnit,16.880796,96.250144
Ah Kyaw Tae,16.877428,96.247206
Kyaung Shae,16.875457,96.248816
War Saing Kwae,16.874348,96.250189
(Khun-Hnit-Sal/ Khun-Hnit-Sae Tit) Zay,16.870745,96.254781
Kar Gyi Gate,16.867192,96.251648
Kun Yar Saing,16.863753,96.248428
Ngar-sae-chauk,16.861514,96.246346
Ngar-sae Lay Tha Ma,16.859892,96.244973
Phone Gyi Kyaung Kwae,16.854265,96.24005
Kar Lay Gate,16.85176,96.237883
Hnit-sae Zay,16.849706,96.236123
Kone Taik,16.848166,96.234815
Thitsar,16.845968,96.232785
Kyar Kan,16.844059,96.231197
Set Hmu Zone Hnit,16.842231,96.229738
G.E.C,16.844346,96.227206
Thit Saing Kwae,16.847632,96.223322
Yauk Kaw,16.848392,96.222314
Pan Chan,16.851575,96.218709
Than Lan,16.854902,96.214993
Taung Myauk Lan Sone,16.858721,96.214718
Tadar Phyu,16.857859,96.212375
Kar Gyi Gate,16.847427,96.208838
Sanpya Zay/ Nga Moe Yeik,16.841989,96.204673
Myittar Shwe Yi,16.838739,96.201072
Bawa Myint,16.837507,96.199817
Kalar Su,16.835063,96.197144
B.O.C,16.832963,96.195097
Paya Lan,16.831222,96.193281
Zawana,16.828111,96.188176
Khap Chee Yar,16.826232,96.186427
Athin Taik,16.823161,96.183397
Than Lan,16.819977,96.178349
Lan Sone,16.819269,96.172287
Kyaung Shae,16.815458,96.17248
Byaing Yae Oh Sin,16.806492,96.172127
Thida,16.799424,96.175791
Aung Mingalar,16.796299,96.176668
Yuzana Plaza/ Lan Kyal,16.794501,96.175571
Mingalar Zay/ Layy Lan,16.791643,96.172326
Masalar Set,16.790316,96.169445
Thein Phyu Sar Taik,16.786857,96.167645
Thein Phyu Zay,16.784569,96.167519
Sein Paul,16.77744,96.167256
Pansodan,16.776767,96.163811
Bar lan,16.77689,96.160721
Sule Myodaw Khan Ma,16.776192,96.158876
Sule Pan Chan,16.773932,96.159584
Pansodan,16.774148,96.163092
Bokalay Zay,16.774055,96.165646
Sein Paul,16.777861,96.167352
Thein Phyu Zay,16.784877,96.167626
Thein Phyu Sar Taik,16.78681,96.167691
Masalar Set,16.7901,96.169348
Mingalar Zay/ Layy Lan,16.791571,96.172441
Yuzana Plaza/ Lan Kyal,16.79428,96.175657
Aung Mingalar,16.796432,96.176735
Thida,16.799395,96.175915
Byaing Yae Oh Sin,16.806698,96.172111
Kyaung Shae,16.815407,96.172652
Lan Sone,16.81895,96.17248
Than Lan,16.819885,96.178134
Athin Taik,16.823053,96.183446
Khap Chee Yar,16.82616,96.186578
Zawana,16.827618,96.187833
Paya Lan,16.830771,96.19326
B.O.C,16.832696,96.195011
Kalar Su,16.834899,96.197444
Bawa Myint,16.837107,96.199742
Myittar Shwe Yi,16.838596,96.201276
Sanpya Zay/ Nga Moe Yeik,16.841871,96.204405
Kar Gyi Gate,16.847468,96.209482
Tadar Phyu,16.857366,96.212289
Taung Myauk Lan Sone,16.85866,96.21446
Than Lan,16.854532,96.214736
Pan Chan,16.851513,96.218237
Yauk Kaw,16.848248,96.222056
Thit Saing Kwae,16.847149,96.223431
G.E.C,16.843935,96.227185
Set Hmu Zone Hnit,16.84219,96.229287
Kyar Kan,16.84375,96.231433
Thitsar,16.845599,96.232957
Kone Taik,16.848073,96.234933
Hnit-sae Zay,16.849573,96.236241
Kar Lay Gate,16.851626,96.238001
Phone Gyi Kyaung Kwae,16.854162,96.24019
Ngar-sae Lay Tha Ma,16.859707,96.245273
Ngar-sae-chauk,16.861001,96.246432
Kun Yar Saing,16.863321,96.248471
Kar Gyi Gate,16.867089,96.251766
(Khun-Hnit-Sal/ Khun-Hnit-Sae Tit) Zay,16.870642,96.254942
War Saing Kwae,16.874574,96.250157
Kyaung Shae,16.875652,96.248869
Ah Kyaw Tae,16.877069,96.247142
Chauk-Sae-Hnit,16.88059,96.250294
Thein Kyaung,16.838431,96.243685
Chauk-sae-ngar Yat Kwet,16.83494,96.242613
Sauk Lote Yae,16.828347,96.240619
Alo Taw Pyae,16.820604,96.23791
Thit Sait,16.815797,96.236365
Than Lan,16.812141,96.23242
Paya Lay,16.812716,96.22903
Thone-Sae-Lay Kar Gyi Gate,16.81058,96.224416
Ta Sal Zay,16.808362,96.220232
Thaketa Awine,16.806472,96.216753
Myayni,16.803884,96.210641
Kyaung Kwae,16.803617,96.206328
Paya Shae,16.802035,96.2068
Khun Zay,16.799015,96.205727
Kyan Mar Yae,16.796653,96.204525
Yoke Shin Yon,16.792631,96.202884
Nal Myay Yon,16.790963,96.2018
Sar Taik,16.789011,96.200877
Si Saing,16.786197,96.199461
Khin Ma Ma Kyar,16.784225,96.198496
Thone Zay,16.781595,96.197101
Ashae Kyar,16.780671,96.196672
Thone Gate Haung,16.777676,96.195548
Man Pyae,16.778452,96.19412
Yan Pyay,16.779951,96.191479
Thinbaw Kyin,16.78141,96.188818
Warso,16.782709,96.183757
Mingalar Zay,16.791823,96.174659
Mingalar Mon Zay,16.794101,96.172931
Say Yon,16.799372,96.170384
Phoe Sein Lan,16.800102,96.167793
Nat Mauk Kyaung Shae,16.800253,96.165105
Jamar,16.801326,96.161275
Yae Khae Saing,16.801172,96.159509
Bahan Thone Lan,16.798112,96.157061
Taung Phat Moke,16.794861,96.150696
Taung Phat Moke,16.794856,96.150637
Bahan Thone Lan,16.797105,96.156932
Yae Khae Saing,16.800895,96.159273
Jamar,16.801229,96.161092
Nat Mauk Kyaung Shae,16.800186,96.165132
Say Yon,16.799339,96.170365
Mingalar Mon Zay,16.793952,96.172931
Mingalar Zay,16.791885,96.174522
Warso,16.782602,96.182764
Thinbaw Kyin,16.781369,96.188174
Yan Pyay,16.77991,96.191028
Man Pyae,16.778472,96.193755
Thone Gate Haung,16.777615,96.19543
Ashae Kyar,16.780403,96.196972
Thone Zay,16.782068,96.197788
Khin Ma Ma Kyar,16.783834,96.198689
Si Saing,16.78632,96.199847
Sar Taik,16.788826,96.201028
Nal Myay Yon,16.790881,96.202036
Yoke Shin Yon,16.793319,96.202895
Kyan Mar Yae,16.796222,96.204697
Khun Zay,16.798707,96.205941
Paya Shae,16.802097,96.206499
Kyaung Kwae,16.803617,96.206714
Myayni,16.803637,96.210855
Thaketa Awine,16.806421,96.216786
Awine,16.806575,96.218194
Awine,16.806554,96.217893
Ta Sal Zay,16.808136,96.220382
Thone-Sae-Lay Kar Gyi Gate,16.809471,96.223172
Paya Lay,16.812593,96.229069
Than Lan,16.811915,96.231927
Thit Sait,16.815017,96.236665
Alo Taw Pyae,16.819988,96.238253
Sauk Lote Yae,16.828234,96.240737
Chauk-sae-ngar Yat Kwet,16.834919,96.242934
Thein Kyaung,16.838555,96.244072
Alo Taw Pyae,16.820604,96.23791
Thit Sait,16.815797,96.236365
Than Lan,16.812141,96.23242
Paya Lay,16.812716,96.22903
Thone-Sae-Lay Kar Gyi Gate,16.81058,96.224416
Ta Sal Zay,16.808362,96.220232
Thaketa Awine,16.806472,96.216753
Shit Gate,16.805075,96.213709
Myayni,16.803884,96.210641
Kyaung Kwae/ Htuu Par Yone,16.803945,96.205941
Anawmar,16.803981,96.201926
Kyauk Taing,16.804459,96.195386
Thuwunna Lan Sone,16.815736,96.190084
Athin Taik,16.823053,96.183446
Khap Chee Yar,16.82616,96.186578
Zawana,16.827618,96.187833
Thayet Taw,16.832619,96.187951
Aung Yadanar,16.835304,96.186638
(Sae-Lay/ Sae-Ngar) Lan Sone,16.836989,96.18579
Padaythar,16.84163,96.183183
Yone Shae,16.844541,96.181267
Taung Okkalar Sar Taik,16.846759,96.179625
Inwa,16.849603,96.177746
Nandawun Zay,16.852129,96.176008
Ta Kaung,16.85482,96.173497
Kaytu Marlar Kwae,16.856206,96.171933
Nyaung Pin,16.854265,96.168412
Mit Zu Lan,16.850959,96.162165
Chaw Twin Kone,16.850728,96.157675
Kabar Aye Paya/ Paya Lan,16.856873,96.156653
Sar Taik,16.862603,96.155366
Lan Wa/ Nawaday,16.867269,96.154778
Ngar Lan,16.874128,96.156913
Hnit Zay,16.87807,96.156157
Phone Gyi Lan,16.881761,96.155602
Kyauk Yae Twin,16.887233,96.154359
Myauk Okkalar Awine,16.892684,96.155151
Gate Haung,16.893741,96.157579
Gandar Yon,16.886442,96.163949
Khay Mar,16.885539,96.167661
Phyo Sabei,16.887325,96.170987
Kyaung Kwae,16.889337,96.175064
Kyan Mar Yae,16.891267,96.178755
Lay-sae-lay Lan Sone,16.892458,96.181029
Kyaung Lay Shae,16.893546,96.183068
Banyardala,16.894655,96.185235
Ba Htoo Zay,16.895476,96.187123
Kyar Hmat Taing,16.897447,96.190685
Lay-sae-chauk Lan Sone,16.8985,96.192522
Sein Pan,16.900465,96.196543
Zay Lay,16.901163,96.197938
Gate Haung,16.90219,96.200126
Moke Wa,16.90488,96.204178
Awine,16.910341,96.213602
Awine,16.910484,96.212894
Moke Wa,16.90451,96.204736
